|            obsdate |    mag |                e_mag | magsys | filter | depth_5sig |     zp | observatory | detected | A_filter |
|  59502.25601010118 |        |                      |     AB |      r |     19.424 | 19.424 |      RASA36 |    False |    -0.02 |
|  59507.22074999986 |        |                      |     AB |      r |     18.421 | 18.421 |      RASA36 |    False |    -0.02 |
|  59508.22450000001 |        |                      |     AB |      r |     18.704 | 18.704 |      RASA36 |    False |    -0.02 |
|  59510.20349999983 |        |                      |     AB |      r |     16.187 | 16.187 |      RASA36 |    False |    -0.02 |
|  59511.27583333291 |        |                      |     AB |      r |     19.338 | 19.338 |      RASA36 |    False |    -0.02 |
|  59513.20033333311 |        |                      |     AB |      r |     19.182 | 19.182 |      RASA36 |    False |    -0.02 |
|  59514.26049999986 |        |                      |     AB |      r |     19.543 | 19.543 |      RASA36 |    False |    -0.02 |
|  59532.20241666678 | 14.834 |  0.05978379462697228 |     AB |      r |     19.256 | 19.256 |      RASA36 |     True |    -0.02 |
|  59533.15154545382 | 14.416 |   0.0566167077813608 |     AB |      r |     18.822 | 18.822 |      RASA36 |     True |    -0.02 |
| 59535.142500000075 | 13.543 |  0.05552451350529782 |     AB |      r |     18.912 | 18.912 |      RASA36 |     True |    -0.02 |
| 59536.157500000205 | 13.199 | 0.055013820081866706 |     AB |      r |     18.811 | 18.811 |      RASA36 |     True |    -0.02 |
|  59539.27408333309 |  12.58 |  0.05453951686621362 |     AB |      r |     19.101 | 19.101 |      RASA36 |     True |    -0.02 |
|  59540.25691666687 | 12.508 | 0.054075714512154156 |     AB |      r |     19.234 | 19.234 |      RASA36 |     True |    -0.02 |
|   59574.2050909088 | 12.993 |  0.06331034670573206 |     AB |      r |     17.231 | 17.231 |      RASA36 |     True |    -0.02 |
| 59576.199583332986 | 13.011 | 0.051581221389183876 |     AB |      r |     19.982 | 19.982 |      RASA36 |     True |    -0.02 |
| 59577.254166666884 | 13.044 | 0.051492796583599926 |     AB |      r |     19.799 | 19.799 |      RASA36 |     True |    -0.02 |
|  59584.29799999995 |  13.45 | 0.052740064467158176 |     AB |      r |     18.454 | 18.454 |      RASA36 |     True |    -0.02 |
|  59586.23455555597 | 13.563 |  0.05257326411780042 |     AB |      r |     20.179 | 20.179 |      RASA36 |     True |    -0.02 |
|  59587.21950000012 |  13.61 |  0.05261084393924888 |     AB |      r |     20.153 | 20.153 |      RASA36 |     True |    -0.02 |
|  59588.15705555491 |  13.65 |  0.05514754391629784 |     AB |      r |     19.268 | 19.268 |      RASA36 |     True |    -0.02 |
