|     obsdate |  UL5_4 | e_UL5_4 |    mag | e_mag | observatory | filter |                                                                                        image |
|  59521.3208 | 19.306 |   0.024 | 19.306 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59521.3208_600.com.fits |
|  59522.3182 | 19.332 |   0.024 | 19.332 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59522.3182_600.com.fits |
|  59523.2972 | 19.355 |   0.024 | 19.355 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59523.2972_600.com.fits |
|   59524.264 | 19.291 |   0.024 | 19.291 | 0.024 |         KCT |      g |  /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59524.264_600.com.fits |
|  59525.2638 | 19.169 |   0.024 | 19.169 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59525.2638_600.com.fits |
|  59526.3188 | 19.241 |   0.024 | 19.241 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59526.3188_600.com.fits |
|  59527.3052 | 19.294 |   0.024 | 19.294 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59527.3052_600.com.fits |
|  59528.3022 | 19.207 |   0.024 | 19.207 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59528.3022_600.com.fits |
|  59530.2432 | 18.921 |   0.024 |  16.26 | 0.033 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59530.2432_600.com.fits |
|  59531.2382 | 18.918 |   0.024 | 15.707 | 0.029 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59531.2382_600.com.fits |
|  59532.2452 | 18.867 |   0.024 | 15.039 | 0.026 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59532.2452_600.com.fits |
|  59533.2304 | 18.979 |   0.024 | 14.467 | 0.025 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59533.2304_600.com.fits |
|  59534.2302 |  18.81 |   0.024 | 13.952 | 0.025 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59534.2302_600.com.fits |
|  59535.2252 | 18.868 |   0.024 | 13.544 | 0.025 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59535.2252_600.com.fits |
|  59536.2222 |   18.6 |   0.025 | 13.237 | 0.025 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59536.2222_600.com.fits |
|  59537.2198 | 18.418 |   0.025 | 12.966 | 0.025 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59537.2198_600.com.fits |
|   59538.264 | 18.629 |   0.025 | 12.747 | 0.025 |         KCT |      g |  /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59538.264_600.com.fits |
|  59539.2742 | 18.658 |   0.025 |  12.57 | 0.025 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59539.2742_600.com.fits |
|  59540.2194 | 18.722 |   0.025 | 12.428 | 0.025 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59540.2194_600.com.fits |
|   59541.275 |  18.75 |   0.025 | 12.309 | 0.025 |         KCT |      g |  /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59541.275_600.com.fits |
|  59542.2202 |  18.79 |   0.024 | 12.209 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59542.2202_600.com.fits |
|  59543.2592 |  19.05 |   0.024 | 12.141 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59543.2592_600.com.fits |
|  59544.2126 | 19.097 |   0.024 | 12.077 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59544.2126_600.com.fits |
|  59545.2032 | 19.147 |   0.024 | 12.046 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59545.2032_600.com.fits |
|  59546.2038 | 19.268 |   0.024 | 12.024 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59546.2038_600.com.fits |
|  59547.2042 | 19.181 |   0.024 | 12.012 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59547.2042_600.com.fits |
|  59548.2054 | 19.068 |   0.024 | 12.015 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59548.2054_600.com.fits |
|  59549.1888 | 19.158 |   0.024 |  12.03 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59549.1888_600.com.fits |
|  59550.1894 | 18.983 |   0.024 | 12.046 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59550.1894_600.com.fits |
|  59551.1728 | 19.179 |   0.024 | 12.073 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59551.1728_600.com.fits |
|  59552.1906 | 18.828 |   0.025 | 12.101 | 0.025 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59552.1906_600.com.fits |
|  59553.1896 | 19.044 |   0.024 | 12.136 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59553.1896_600.com.fits |
|  59554.1734 | 19.152 |   0.024 | 12.176 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59554.1734_600.com.fits |
|  59555.1748 | 18.989 |   0.024 |  12.22 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59555.1748_600.com.fits |
|  59556.1752 | 19.251 |   0.024 | 12.279 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59556.1752_600.com.fits |
|  59557.1762 | 19.313 |   0.024 | 12.336 | 0.024 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59557.1762_600.com.fits |
|   59558.176 | 18.883 |   0.024 | 12.417 | 0.024 |         KCT |      g |  /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59558.176_600.com.fits |
|  59564.1352 | 18.831 |   0.024 | 12.899 | 0.025 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59564.1352_600.com.fits |
|   59565.146 | 18.764 |   0.025 | 12.984 | 0.025 |         KCT |      g |  /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59565.146_600.com.fits |
|  59566.1928 | 18.576 |   0.025 | 13.084 | 0.025 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59566.1928_600.com.fits |
|  59615.1186 | 18.997 |   0.025 | 15.033 | 0.027 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59615.1186_600.com.fits |
|  59616.1952 | 18.996 |   0.025 |  15.05 | 0.027 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59616.1952_600.com.fits |
|  59617.1976 | 18.873 |   0.025 | 15.075 | 0.028 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59617.1976_600.com.fits |
|  59618.1166 |  18.95 |   0.025 | 15.081 | 0.027 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59618.1166_600.com.fits |
|  59619.1786 | 18.933 |   0.025 | 15.118 | 0.028 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59619.1786_600.com.fits |
|  59620.1752 |  18.79 |   0.025 | 15.112 | 0.028 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59620.1752_600.com.fits |
|  59621.1744 | 18.516 |   0.026 | 15.125 | 0.029 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59621.1744_600.com.fits |
|  59623.1702 | 18.263 |   0.027 | 15.146 | 0.032 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59623.1702_600.com.fits |
|  59624.1126 | 18.273 |   0.027 | 15.186 | 0.031 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59624.1126_600.com.fits |
|  59625.1666 | 18.165 |   0.027 |   15.2 | 0.032 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59625.1666_600.com.fits |
| 59626.14533 | 17.643 |   0.029 | 15.207 | 0.038 |         KCT |      g | /data2/SN2021aefx_220627/KCT_STX16803/g/aligned/combined/NGC1566_KCT_59626.1453_360.com.fits |
