|       obj |   ra_hms |  dec_dms | filter | exptime | count | binning |                 weight | note | scheduled |  #id |      ra |     dec |                ra1 |               dec1 |                ra2 |               dec2 |                ra3 |               dec3 |                ra4 |               dec4 | n_hostgalaxy |      prob_vol_x_stmass | rank | confidence |                                               mainTarget |                                                                       FixedTarget |                               id |           moonsep | rise |                    transit | set | maxalt |
| MS230428f | 03:20:55 | 24:53:37 |    B,R | 120,120 |   2,2 |     1,1 | 0.00022957787562673525 | 5103 |     False | 5103 | 50.2326 | 24.8936 |  51.34396087816392 | 25.889534533185728 |  51.32610247721427 | 23.889600131066324 | 49.139013801855484 |  23.88960013106632 |  49.12115540090583 | 25.889534533185728 |            2 | 0.00022957787562673525 |    0 |        0.9 | Target[name=MS230428f, ra[deg]=50.2326, dec[deg]=24.8936 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (50.2326, 24.8936)> | de3375785f204fbeafb639254e74e7d1 | 79.64914214151275 |      | 2023-04-28 03:02:39.223880 |     | -10.76 |
| MS230428f | 03:12:33 | 24:53:37 |    B,R | 120,120 |   2,2 |     1,1 |   7.03543600525493e-05 | 5102 |     False | 5102 | 48.1395 | 24.8936 |  49.25093762234998 | 25.889534533185728 |  49.23307922140034 | 23.889600131066324 | 47.045990546041544 |  23.88960013106632 |  47.02813214509189 | 25.889534533185728 |            1 |   7.03543600525493e-05 |    1 |        1.0 | Target[name=MS230428f, ra[deg]=48.1395, dec[deg]=24.8936 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (48.1395, 24.8936)> | 084ab5d2141649aca1153cb03d1a73e4 | 81.43769898818634 |      | 2023-04-28 02:54:20.730949 |     | -12.42 |
| MS230428f | 03:19:31 | 28:43:24 |    B,R | 120,120 |   2,2 |     1,1 |                    0.0 | 5443 |     False | 5443 | 49.8795 | 28.7234 |  51.03081086978142 | 29.718575972693287 |  51.00899627793486 |  27.71866745763756 | 48.750039866643434 |  27.71866745763756 |   48.7282252747969 | 29.718575972693287 |            0 |                    0.0 |    2 |        1.0 | Target[name=MS230428f, ra[deg]=49.8795, dec[deg]=28.7234 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (49.8795, 28.7234)> | 46f9ef65b0284a9f822b8ebae63fa7b3 | 78.70343922892098 |      | 2023-04-28 03:01:17.146514 |     |  -12.9 |
| MS230428f | 03:10:50 | 28:43:24 |    B,R | 120,120 |   2,2 |     1,1 |                    0.0 | 5442 |     False | 5442 | 47.7108 | 28.7234 |  48.86213617098625 | 29.718575972693287 | 48.840321579139705 |  27.71866745763756 |  46.58136516784826 |  27.71866745763756 |  46.55955057600172 | 29.718575972693287 |            0 |                    0.0 |    3 |        1.0 | Target[name=MS230428f, ra[deg]=47.7108, dec[deg]=28.7234 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (47.7108, 28.7234)> | d2d1effe82444afdbc3ee33350647e10 | 80.50026468181778 |      | 2023-04-28 02:52:40.260442 |     | -14.58 |
| MS230428f | 03:02:10 | 28:43:24 |    B,R | 120,120 |   2,2 |     1,1 |                    0.0 | 5441 |     False | 5441 | 45.5422 | 28.7234 |  46.69346147219106 | 29.718575972693287 |  46.67164688034452 | 27.718667457637558 | 44.412690469053075 | 27.718667457637558 |  44.39087587720653 | 29.718575972693287 |            0 |                    0.0 |    4 |        1.0 | Target[name=MS230428f, ra[deg]=45.5422, dec[deg]=28.7234 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (45.5422, 28.7234)> | e4800306ec9f43a7bc56c3411efee0d3 | 82.28658440285275 |      | 2023-04-28 02:44:01.624108 |     | -16.27 |
| MS230428f | 03:15:58 | 26:48:30 |    B,R | 120,120 |   2,2 |     1,1 |                    0.0 | 5274 |     False | 5274 | 48.9941 | 26.8085 |  50.12444760885722 |  27.80406182669751 |  50.10468333268757 | 25.804139612613305 | 47.883482347785794 | 25.804139612613305 |  47.86371807161615 | 27.804061826697513 |            0 |                    0.0 |    5 |        1.0 | Target[name=MS230428f, ra[deg]=48.9941, dec[deg]=26.8085 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (48.9941, 26.8085)> | bd40e73b1d564a0bbf616b9b72f976ab | 80.06837075526312 |      | 2023-04-28 02:57:45.128915 |     | -12.67 |
| MS230428f | 03:07:27 | 26:48:30 |    B,R | 120,120 |   2,2 |     1,1 |                    0.0 | 5273 |     False | 5273 | 46.8639 | 26.8085 | 47.994270094064305 |  27.80406182669751 | 47.974505817894666 | 25.804139612613305 |   45.7533048329929 | 25.804139612613305 |  45.73354055682325 |  27.80406182669751 |            0 |                    0.0 |    6 |        1.0 | Target[name=MS230428f, ra[deg]=46.8639, dec[deg]=26.8085 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (46.8639, 26.8085)> | a31aeffd6f24420e91816fa124a0cc0d | 81.85723003114767 |      | 2023-04-28 02:49:17.353435 |     | -14.34 |
| MS230428f | 03:04:11 | 24:53:37 |    B,R | 120,120 |   2,2 |     1,1 |                    0.0 | 5101 |     False | 5101 | 46.0465 | 24.8936 | 47.157914366536026 | 25.889534533185728 | 47.140055965586384 |  23.88960013106632 |  44.95296729022758 |  23.88960013106632 |  44.93510888927793 | 25.889534533185728 |            0 |                    0.0 |    7 |        1.0 | Target[name=MS230428f, ra[deg]=46.0465, dec[deg]=24.8936 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (46.0465, 24.8936)> | 1ee0a95273974c6cbca26ff86034008f | 83.21728630646207 |      | 2023-04-28 02:46:01.128227 |     | -14.09 |
| MS230428f | 03:18:37 | 22:58:43 |    B,R | 120,120 |   2,2 |     1,1 |                    0.0 | 4929 |     False | 4929 | 49.6552 | 22.9787 |  50.74944042953384 | 23.974995541961256 | 50.733362197902885 |  21.97505031507486 | 48.576982629683314 |  21.97505031507486 | 48.560904398052344 | 23.974995541961256 |            0 |                    0.0 |    8 |        1.0 | Target[name=MS230428f, ra[deg]=49.6552, dec[deg]=22.9787 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (49.6552, 22.9787)> | d393cdbf70c94d99b080589dfb883185 |  80.7853983795294 |      | 2023-04-28 03:00:20.610872 |     | -10.28 |
| MS230428f | 03:10:20 | 22:58:43 |    B,R | 120,120 |   2,2 |     1,1 |                    0.0 | 4928 |     False | 4928 | 47.5862 | 22.9787 | 48.680474912292475 | 23.974995541961256 |   48.6643966806615 |  21.97505031507486 |  46.50801711244193 |  21.97505031507486 |  46.49193888081096 | 23.974995541961256 |            0 |                    0.0 |    9 |        1.0 | Target[name=MS230428f, ra[deg]=47.5862, dec[deg]=22.9787 | <FixedTarget "MS230428f" at SkyCoord (ICRS): (ra, dec) in deg (47.5862, 22.9787)> | 2730e66ad51644a4a281895014ad96c7 | 82.57432546045987 |      | 2023-04-28 02:52:08.167757 |     | -11.94 |
